id,customer_name,sentiment,csat_score,call_timestamp,reason,city,state,channel,response_time,call duration in minutes,call_center
IFS-37862876-p-225491-Aj,Cesar Lammin,Very Positive,9,10/27/2020,Billing Question,Colorado Springs,Colorado,Email,Above SLA,23,Los Angeles/CA
JDZ-90779975-7-229004-q3,Benni Porrett,Very Negative,3,10/14/2020,Billing Question,New York City,New York,Web,Within SLA,45,Los Angeles/CA
SOP-69216471-p-991249-1N,Roldan Crafts,Positive,9,10/22/2020,Billing Question,Philadelphia,Pennsylvania,Call-Center,Above SLA,39,Baltimore/MD
GNQ-67141938-C-986622-GR,Glenna Longden,Very Negative,,10/22/2020,Billing Question,Bronx,New York,Call-Center,Within SLA,37,Baltimore/MD
GKO-38327312-U-096494-ox,Alf De Vile,Neutral,7,10/17/2020,Billing Question,Louisville,Kentucky,Email,Within SLA,15,Los Angeles/CA
DGU-63061248-u-923002-El,Loren Fahy,Neutral,,10/23/2020,Billing Question,Miami,Florida,Call-Center,Within SLA,40,Chicago/IL
DUP-68675613-0-655887-Fd,Val Rowcliffe,Very Negative,,10/8/2020,Billing Question,Salem,Oregon,Email,Within SLA,14,Los Angeles/CA
XMV-78622191-b-844845-tF,Rustie Lipscombe,Negative,,10/23/2020,Service Outage,Saint Paul,Minnesota,Email,Below SLA,26,Los Angeles/CA
CJK-28848154-f-410625-Z4,Ingamar Traill,Very Negative,,10/7/2020,Billing Question,Columbus,Georgia,Call-Center,Within SLA,23,Chicago/IL
GHE-67235945-p-619220-He,Carolyne Ferrarello,Negative,3,10/6/2020,Service Outage,Davenport,Iowa,Email,Within SLA,11,Los Angeles/CA
NPQ-87105572-Y-016104-Si,Karel Thurman,Very Positive,,10/10/2020,Billing Question,Dallas,Texas,Email,Within SLA,13,Los Angeles/CA
DLS-54629165-V-115113-ai,Sabra Laker,Neutral,,10/25/2020,Billing Question,Gainesville,Georgia,Call-Center,Within SLA,39,Los Angeles/CA
POG-79329208-u-065970-Lo,Even Cawthery,Neutral,,10/4/2020,Billing Question,Washington,District of Columbia,Chatbot,Above SLA,45,Los Angeles/CA
MQP-38623566-0-801946-Ka,Riva Meakin,Very Positive,10,10/16/2020,Billing Question,Dayton,Ohio,Web,Within SLA,35,Baltimore/MD
QYE-29733732-d-684148-Qu,Marla Erbain,Neutral,8,10/16/2020,Billing Question,Boston,Massachusetts,Email,Within SLA,20,Denver/CO
ISJ-71623725-n-885621-0s,Angelia Thews,Negative,,10/16/2020,Payments,Montgomery,Alabama,Call-Center,Within SLA,30,Baltimore/MD
YCE-02462455-6-617400-6D,Sutherland Hamerton,Negative,5,10/17/2020,Service Outage,San Antonio,Texas,Chatbot,Above SLA,29,Los Angeles/CA
VXG-18350279-S-266172-BQ,Base MacKeague,Neutral,6,10/27/2020,Billing Question,Dallas,Texas,Chatbot,Within SLA,31,Denver/CO
ABT-56416541-T-389898-hr,Filberto Kyndred,Very Positive,,10/6/2020,Billing Question,Durham,North Carolina,Email,Within SLA,7,Baltimore/MD
IUO-68322742-3-594142-42,Borg Illyes,Negative,,10/25/2020,Service Outage,Denver,Colorado,Chatbot,Within SLA,25,Chicago/IL
HWY-35692909-N-668971-EI,Deidre Murphy,Negative,5,10/16/2020,Payments,Des Moines,Iowa,Call-Center,Within SLA,36,Baltimore/MD
BDK-21631867-p-090779-GF,Aldus Henrych,Neutral,,10/14/2020,Service Outage,Dayton,Ohio,Chatbot,Within SLA,24,Denver/CO
TFD-91730994-K-797395-96,Hunt Woodhead,Negative,6,10/29/2020,Billing Question,Columbus,Ohio,Chatbot,Below SLA,31,Los Angeles/CA
RWM-43556365-E-945927-GC,Zorine Shorey,Negative,,10/5/2020,Billing Question,Richmond,Virginia,Chatbot,Above SLA,30,Los Angeles/CA
ROI-10919238-a-954330-o5,Anthia McAusland,Negative,4,10/19/2020,Service Outage,Jacksonville,Florida,Chatbot,Within SLA,37,Baltimore/MD
SDI-62563962-a-592131-aW,Branden Kainz,Positive,7,10/5/2020,Billing Question,East Saint Louis,Illinois,Email,Within SLA,13,Los Angeles/CA
FQM-95819771-8-047832-y5,Malinde Albery,Neutral,8,10/20/2020,Service Outage,Akron,Ohio,Web,Below SLA,6,Los Angeles/CA
REF-74411048-U-916250-iL,Giffer Eby,Positive,,10/27/2020,Billing Question,Mobile,Alabama,Call-Center,Within SLA,37,Los Angeles/CA
QWA-51926033-y-311728-T5,Rouvin Swancott,Negative,,10/13/2020,Payments,Naperville,Illinois,Call-Center,Within SLA,15,Los Angeles/CA
WEJ-48972431-v-192072-VG,Jyoti MacDwyer,Negative,,10/18/2020,Service Outage,Albuquerque,New Mexico,Email,Within SLA,8,Baltimore/MD
COT-47994346-x-187200-x4,Sari Dominey,Very Positive,,10/19/2020,Billing Question,Springfield,Massachusetts,Call-Center,Within SLA,28,Baltimore/MD
BDX-82453311-X-661786-Ir,Alix Cloake,Negative,,10/14/2020,Billing Question,Muncie,Indiana,Email,Within SLA,10,Baltimore/MD
DGF-28298141-A-781781-zo,Kellen Gowrie,Very Positive,10,10/10/2020,Service Outage,Pasadena,California,Chatbot,Within SLA,11,Baltimore/MD
AJV-50158446-M-969770-o5,Aldo Stote,Very Negative,,10/10/2020,Service Outage,Kalamazoo,Michigan,Email,Below SLA,32,Baltimore/MD
PDA-24903024-A-181029-EN,Anstice Glanville,Neutral,,10/17/2020,Billing Question,Tallahassee,Florida,Email,Within SLA,38,Baltimore/MD
GAK-54944753-t-824289-RW,Bran Jorck,Positive,7,10/9/2020,Billing Question,Norcross,Georgia,Chatbot,Below SLA,8,Los Angeles/CA
AYN-10516463-h-440445-7x,Dagny Hegg,Negative,,10/26/2020,Billing Question,Washington,District of Columbia,Chatbot,Within SLA,44,Baltimore/MD
AQC-98299549-N-459309-Y9,Amil Yarker,Very Positive,,10/3/2020,Billing Question,London,Kentucky,Email,Below SLA,9,Baltimore/MD
PUW-42829387-y-376683-11,Rebeca Moulding,Negative,,10/10/2020,Service Outage,Oklahoma City,Oklahoma,Chatbot,Within SLA,30,Los Angeles/CA
JQC-13870023-d-481739-yu,Blancha Dignon,Negative,,10/23/2020,Payments,Brockton,Massachusetts,Call-Center,Within SLA,20,Los Angeles/CA
TZF-42433870-d-217602-E4,Caprice Berfoot,Positive,,10/24/2020,Payments,Largo,Florida,Call-Center,Below SLA,23,Baltimore/MD
EHI-93773110-D-761655-Ya,Fielding Hallewell,Neutral,6,10/5/2020,Billing Question,Houston,Texas,Call-Center,Above SLA,10,Denver/CO
CWS-34151129-O-376918-cJ,Eduard Gilliatt,Neutral,,10/12/2020,Billing Question,Orlando,Florida,Web,Within SLA,6,Los Angeles/CA
QZI-78619917-N-718760-c9,Ardenia Dimbylow,Very Positive,,10/6/2020,Service Outage,Dallas,Texas,Chatbot,Below SLA,8,Baltimore/MD
FLP-68771947-R-703816-UJ,Raphael Westoll,Very Positive,,10/28/2020,Billing Question,Boca Raton,Florida,Email,Below SLA,20,Baltimore/MD
DNC-61950365-D-521641-Fi,Hedwig Brennon,Neutral,,10/21/2020,Billing Question,New Orleans,Louisiana,Web,Within SLA,40,Baltimore/MD
TVM-15659365-S-967669-M1,Sibby Levy,Very Negative,,10/15/2020,Service Outage,Dallas,Texas,Web,Within SLA,42,Los Angeles/CA
ECG-51657322-X-828797-I5,Yoshi Sambals,Positive,,10/13/2020,Payments,Fresno,California,Call-Center,Within SLA,44,Baltimore/MD
FNQ-98475936-n-649627-9G,Elfrida Dominguez,Negative,,10/26/2020,Billing Question,Detroit,Michigan,Call-Center,Above SLA,44,Chicago/IL
BSM-83795164-T-893251-1K,Hewe Leeman,Negative,,10/17/2020,Billing Question,Florence,South Carolina,Chatbot,Within SLA,29,Baltimore/MD
XFH-76799965-P-213206-eJ,Damien Jarville,Very Negative,1,10/26/2020,Payments,Fairbanks,Alaska,Call-Center,Within SLA,9,Baltimore/MD
ATV-89319648-i-355818-xL,Michelina MacTrustam,Negative,,10/9/2020,Billing Question,Roanoke,Virginia,Email,Within SLA,28,Los Angeles/CA
FGS-27250253-K-246184-e0,Ryan Gabbat,Positive,,10/30/2020,Service Outage,Fresno,California,Chatbot,Within SLA,39,Los Angeles/CA
GIG-57630607-Z-091935-0q,Hillel Walrond,Very Positive,,10/23/2020,Billing Question,Washington,District of Columbia,Chatbot,Within SLA,21,Denver/CO
WDW-01961362-2-599789-qh,Chuck Kalkofer,Very Negative,,10/21/2020,Service Outage,Huntsville,Texas,Chatbot,Within SLA,11,Los Angeles/CA
EXV-89662468-c-537682-Xf,Aimil Morilla,Negative,,10/4/2020,Billing Question,Charlotte,North Carolina,Call-Center,Within SLA,42,Los Angeles/CA
GEC-70839234-h-488750-Gh,Caresse Pretswell,Negative,,10/3/2020,Billing Question,Rockford,Illinois,Email,Below SLA,33,Los Angeles/CA
CTF-62544562-7-980180-bc,Caril Cousans,Neutral,7,10/30/2020,Billing Question,Saint Cloud,Minnesota,Web,Above SLA,18,Los Angeles/CA
MIR-47071406-1-770672-kV,Carmelita Elldred,Negative,5,10/27/2020,Billing Question,Tampa,Florida,Email,Above SLA,22,Baltimore/MD
SHE-14279280-m-614918-LG,Adriaens Phythien,Very Negative,,10/12/2020,Payments,Sacramento,California,Call-Center,Within SLA,10,Los Angeles/CA
BUI-84291565-S-568319-HM,Corella de Banke,Negative,,10/19/2020,Billing Question,Knoxville,Tennessee,Chatbot,Above SLA,9,Los Angeles/CA
FHJ-85243681-e-552397-8r,Rob Payze,Neutral,7,10/27/2020,Billing Question,Toledo,Ohio,Email,Within SLA,40,Los Angeles/CA
ZLG-04038616-M-886898-4Y,Harriot Pardon,Neutral,,10/20/2020,Payments,Sacramento,California,Call-Center,Within SLA,31,Baltimore/MD
ESS-66347658-l-775075-hR,Jillian Snaddon,Very Negative,3,10/22/2020,Billing Question,Atlanta,Georgia,Email,Above SLA,35,Los Angeles/CA
EEW-21497583-W-901810-vl,Garik Jorez,Neutral,,10/2/2020,Billing Question,Fullerton,California,Call-Center,Within SLA,25,Los Angeles/CA
IFQ-85817661-I-084013-RM,Gabbie Lapides,Negative,,10/12/2020,Service Outage,Orange,California,Chatbot,Within SLA,45,Baltimore/MD
JFL-57500957-U-135864-1C,Melisa Quiddinton,Negative,4,10/8/2020,Payments,Bonita Springs,Florida,Call-Center,Below SLA,23,Baltimore/MD
FZT-43070644-v-322878-8p,Jennine Aidler,Very Positive,,10/26/2020,Payments,Montgomery,Alabama,Call-Center,Within SLA,25,Baltimore/MD
PWV-75166248-L-772820-TJ,Frannie Sprigings,Neutral,,10/13/2020,Service Outage,Wichita,Kansas,Email,Below SLA,14,Baltimore/MD
BJP-59686037-i-675202-FA,Skip Overstone,Very Negative,4,10/17/2020,Billing Question,Apache Junction,Arizona,Call-Center,Above SLA,15,Los Angeles/CA
LXW-45451552-E-785479-KX,Arnuad Gudahy,Negative,3,10/5/2020,Billing Question,Miami,Florida,Chatbot,Within SLA,13,Baltimore/MD
SHY-01220339-m-413469-6d,Murial Petrakov,Neutral,,10/16/2020,Billing Question,Anchorage,Alaska,Email,Within SLA,26,Los Angeles/CA
AJZ-44504344-w-401484-6v,Normand Jonczyk,Neutral,,10/21/2020,Payments,Port Charlotte,Florida,Call-Center,Within SLA,15,Los Angeles/CA
BYS-44105589-2-871739-KX,Mufi Dureden,Neutral,,10/11/2020,Billing Question,Louisville,Kentucky,Web,Within SLA,29,Baltimore/MD
BUG-85198160-6-632742-Eh,Christos Moodie,Neutral,,10/18/2020,Billing Question,Farmington,Michigan,Call-Center,Below SLA,38,Baltimore/MD
SYC-30637196-m-370327-f3,Dorri Giffen,Very Negative,,10/21/2020,Billing Question,Savannah,Georgia,Chatbot,Above SLA,17,Los Angeles/CA
GXA-36941439-l-178092-hR,Marya Adam,Neutral,,10/4/2020,Billing Question,Orlando,Florida,Call-Center,Within SLA,16,Chicago/IL
EDS-78937939-j-917357-TI,Kimmi Catchpole,Neutral,,10/13/2020,Billing Question,Champaign,Illinois,Chatbot,Below SLA,41,Los Angeles/CA
JSX-27638785-b-490238-TW,Andrea Tooby,Positive,,10/20/2020,Payments,Los Angeles,California,Call-Center,Above SLA,28,Chicago/IL
SXC-57313982-R-591345-pY,Dacie MacAlpine,Negative,,10/14/2020,Billing Question,Peoria,Arizona,Email,Below SLA,13,Chicago/IL
QCW-57453147-F-154990-D8,Michele Hugk,Negative,,10/5/2020,Billing Question,Nashville,Tennessee,Web,Within SLA,11,Los Angeles/CA
ALG-59662676-o-400132-oS,Pryce Moggach,Neutral,,10/11/2020,Payments,Charlotte,North Carolina,Call-Center,Within SLA,45,Denver/CO
WQL-49363049-p-750812-da,Yehudit Spens,Positive,9,10/16/2020,Billing Question,El Paso,Texas,Chatbot,Below SLA,17,Los Angeles/CA
GOZ-96701434-1-714997-Jm,Cordelie Brisson,Neutral,7,10/9/2020,Billing Question,Brooklyn,New York,Chatbot,Within SLA,35,Baltimore/MD
YMW-07657634-5-244501-31,Tallulah Rouchy,Negative,5,10/4/2020,Billing Question,Decatur,Georgia,Chatbot,Above SLA,17,Los Angeles/CA
BGT-16019697-H-465139-Yw,Yoshi De Cruz,Positive,,10/12/2020,Service Outage,Shreveport,Louisiana,Web,Within SLA,5,Denver/CO
PUZ-36272070-9-231624-Ug,Willy Phython,Neutral,,10/5/2020,Billing Question,Birmingham,Alabama,Call-Center,Within SLA,12,Baltimore/MD
OCM-31527860-G-706387-qt,Maurine Drysdale,Positive,7,10/22/2020,Service Outage,Amarillo,Texas,Web,Within SLA,17,Chicago/IL
NTE-41924445-Z-814259-Vy,Maiga Pryell,Negative,,10/30/2020,Billing Question,Saint Augustine,Florida,Email,Below SLA,39,Baltimore/MD
MHL-95049437-A-842112-fC,Andromache Rapsey,Neutral,,10/22/2020,Billing Question,Lancaster,California,Call-Center,Within SLA,19,Denver/CO
YFY-37303548-R-416631-JM,Robenia Dunderdale,Very Positive,10,10/24/2020,Billing Question,Birmingham,Alabama,Chatbot,Within SLA,12,Baltimore/MD
ALR-64334270-B-854931-Qr,Stavro Gerhartz,Very Positive,,10/11/2020,Billing Question,Las Vegas,Nevada,Web,Within SLA,44,Los Angeles/CA
QFW-76682543-Z-828718-Ey,Berny Menloe,Very Negative,2,10/21/2020,Service Outage,New York City,New York,Chatbot,Within SLA,7,Los Angeles/CA
JEI-41127272-K-419197-UF,Durand Kermath,Neutral,8,10/15/2020,Billing Question,Salinas,California,Call-Center,Within SLA,35,Denver/CO
DUS-40336658-U-740494-1t,Rosy Berens,Neutral,7,10/28/2020,Service Outage,Dallas,Texas,Web,Within SLA,37,Los Angeles/CA
LET-53700114-L-475809-bS,Gregorio Plumridege,Negative,4,10/22/2020,Billing Question,Lincoln,Nebraska,Web,Within SLA,37,Baltimore/MD
SFK-53705216-U-394477-6F,Deidre Gadie,Negative,,10/22/2020,Service Outage,Denver,Colorado,Web,Within SLA,45,Los Angeles/CA
VFA-35950348-x-922960-L6,Zak Kepp,Negative,,10/6/2020,Billing Question,Charlotte,North Carolina,Email,Within SLA,36,Los Angeles/CA
ZNA-85530672-C-792116-GI,Marybeth Charpin,Very Negative,,10/7/2020,Billing Question,Frederick,Maryland,Chatbot,Within SLA,7,Chicago/IL
WEI-91277172-V-127088-9v,Jedd Stourton,Neutral,,10/25/2020,Billing Question,Washington,District of Columbia,Email,Within SLA,6,Los Angeles/CA
IPG-09029983-i-281353-Fz,Rebekah Coffee,Negative,,10/28/2020,Billing Question,Augusta,Georgia,Call-Center,Within SLA,20,Baltimore/MD
AUG-26162397-E-677660-IP,Humphrey McBayne,Very Negative,,10/13/2020,Billing Question,Lancaster,Pennsylvania,Chatbot,Above SLA,22,Baltimore/MD
MBX-31788057-B-280454-1s,Gabriele Warrick,Positive,,10/28/2020,Service Outage,Topeka,Kansas,Chatbot,Within SLA,17,Baltimore/MD
UFC-29626514-g-442893-Nz,Irvin Banbrigge,Neutral,,10/10/2020,Billing Question,Winston Salem,North Carolina,Web,Within SLA,9,Baltimore/MD
DZO-00207036-R-064310-ar,Leonelle Fairney,Neutral,,10/23/2020,Service Outage,Omaha,Nebraska,Web,Within SLA,20,Baltimore/MD
WIR-34032006-W-763977-9s,Amalle McCusker,Very Negative,2,10/18/2020,Billing Question,Fresno,California,Web,Within SLA,14,Baltimore/MD
MVI-20834353-X-096898-f4,Neely Fraczkiewicz,Neutral,,10/2/2020,Billing Question,Trenton,New Jersey,Call-Center,Within SLA,16,Baltimore/MD
HRY-12576129-z-013461-uM,Willow Conley,Negative,4,10/29/2020,Billing Question,Charlotte,North Carolina,Web,Within SLA,7,Baltimore/MD
BCE-49111098-M-806968-Hi,Malva Whifen,Positive,,10/20/2020,Billing Question,Pensacola,Florida,Email,Above SLA,43,Baltimore/MD
SQX-28767064-D-107678-ER,Nichole Koppens,Neutral,,10/19/2020,Billing Question,Norcross,Georgia,Call-Center,Within SLA,34,Los Angeles/CA
IIZ-00147379-Y-623778-td,Torey Bloxsome,Very Negative,,10/16/2020,Billing Question,Las Vegas,Nevada,Chatbot,Within SLA,27,Los Angeles/CA
MIU-43423232-L-572020-3h,Camilla Fettis,Positive,8,10/27/2020,Billing Question,Miami,Florida,Chatbot,Above SLA,15,Denver/CO
EQF-51032286-W-385221-l9,Jodie MacAne,Positive,,10/22/2020,Billing Question,Sacramento,California,Call-Center,Within SLA,20,Denver/CO
FJG-47933370-u-648990-V5,Lynnelle Flippen,Neutral,5,10/15/2020,Payments,Albany,New York,Call-Center,Within SLA,21,Baltimore/MD
LWJ-18240174-8-045107-L2,Leena Morphet,Very Negative,,10/28/2020,Billing Question,Phoenix,Arizona,Chatbot,Below SLA,19,Baltimore/MD
GLD-51677545-n-540455-sO,Obadias Lashley,Very Negative,4,10/20/2020,Payments,Winston Salem,North Carolina,Call-Center,Below SLA,9,Baltimore/MD
DLF-37597034-1-532790-ev,Nolly Merit,Very Positive,,10/7/2020,Billing Question,Memphis,Tennessee,Chatbot,Below SLA,34,Los Angeles/CA
ZBG-37365718-k-559957-GM,Grantley Valentinetti,Negative,,10/22/2020,Service Outage,Cleveland,Ohio,Web,Below SLA,32,Los Angeles/CA
RTC-42784668-7-720802-1d,Loy Martelet,Positive,8,10/14/2020,Billing Question,Birmingham,Alabama,Call-Center,Within SLA,6,Los Angeles/CA
HNE-08939920-H-505462-61,King Friend,Negative,,10/21/2020,Service Outage,Pasadena,California,Email,Within SLA,5,Los Angeles/CA
LWU-26888376-e-801202-CE,Garik Fippe,Positive,9,10/27/2020,Billing Question,Hartford,Connecticut,Chatbot,Below SLA,25,Los Angeles/CA
NHX-39473862-S-417044-kZ,Alisa Kittley,Neutral,7,10/28/2020,Payments,Seattle,Washington,Call-Center,Within SLA,19,Los Angeles/CA
FEO-66549798-3-486092-jJ,Ainslie Kelston,Negative,4,10/11/2020,Billing Question,Bronx,New York,Call-Center,Below SLA,30,Baltimore/MD
VWO-77561671-G-074307-2b,Silvie Hawkridge,Neutral,5,10/23/2020,Billing Question,Riverside,California,Web,Above SLA,18,Baltimore/MD
AKW-55851126-N-214319-E2,Xerxes Peerless,Positive,7,10/6/2020,Billing Question,Albuquerque,New Mexico,Web,Within SLA,21,Denver/CO
MRU-01481717-Z-185817-Dx,Hilario Juschke,Very Negative,4,10/26/2020,Billing Question,Anchorage,Alaska,Email,Within SLA,41,Los Angeles/CA
XOJ-87573997-N-964402-xq,Pandora Shillabear,Positive,,10/30/2020,Billing Question,Washington,District of Columbia,Web,Within SLA,21,Los Angeles/CA
NBY-91850737-T-080006-Va,Billy Gajownik,Negative,,10/29/2020,Payments,Riverside,California,Call-Center,Within SLA,30,Baltimore/MD
LXE-84375002-5-390465-fp,Carlina Breedy,Neutral,,10/22/2020,Billing Question,Little Rock,Arkansas,Web,Below SLA,15,Denver/CO
OYB-89099331-7-235286-uZ,Hermann Matysiak,Negative,5,10/22/2020,Billing Question,Little Rock,Arkansas,Call-Center,Within SLA,29,Baltimore/MD
PVW-07434738-e-265760-9h,Christan Cahillane,Neutral,,10/28/2020,Service Outage,Corona,California,Chatbot,Within SLA,45,Los Angeles/CA
UXG-46422593-e-194084-Ol,Ranice Bowller,Negative,,10/14/2020,Service Outage,Katy,Texas,Chatbot,Within SLA,35,Los Angeles/CA
FPK-64024085-S-325432-Cq,Carolyne Fosten,Negative,,10/8/2020,Payments,Sacramento,California,Call-Center,Within SLA,29,Chicago/IL
BAA-58552392-3-023003-Bz,Terrye Chesters,Very Positive,9,10/7/2020,Billing Question,Bronx,New York,Email,Below SLA,28,Baltimore/MD
VBE-71379265-A-596289-ne,Hinze Prisley,Negative,3,10/26/2020,Billing Question,San Jose,California,Chatbot,Within SLA,35,Baltimore/MD
JIM-27009801-Z-744546-Nw,Kinsley Sinnat,Very Negative,,10/22/2020,Billing Question,Lawrenceville,Georgia,Web,Within SLA,42,Chicago/IL
MRH-31505386-0-807823-mc,Ashla Perle,Neutral,,10/5/2020,Service Outage,Rochester,New York,Chatbot,Within SLA,23,Los Angeles/CA
QQE-67207497-8-717926-kJ,Leighton Scoffins,Very Positive,,10/13/2020,Service Outage,New York City,New York,Email,Below SLA,36,Baltimore/MD
NPL-34915875-N-486845-a1,Miran McNelly,Neutral,,10/6/2020,Service Outage,Huntington,West Virginia,Chatbot,Below SLA,43,Los Angeles/CA
IRS-04845622-5-448899-IS,Cherlyn Chaffin,Very Negative,,10/25/2020,Billing Question,Boston,Massachusetts,Chatbot,Within SLA,16,Chicago/IL
NNL-12723609-S-303783-2i,Antonius Clingan,Neutral,,10/5/2020,Billing Question,Chattanooga,Tennessee,Web,Within SLA,38,Baltimore/MD
MEK-74108731-5-829166-ov,Nancee Tincey,Negative,5,10/6/2020,Payments,Alhambra,California,Call-Center,Within SLA,18,Baltimore/MD
UBV-11427110-f-456867-tM,Milissent Lohoar,Negative,4,10/20/2020,Billing Question,Kansas City,Missouri,Call-Center,Within SLA,10,Los Angeles/CA
XWJ-24298767-z-086218-RU,Fleurette Hurlin,Negative,,10/9/2020,Payments,Springfield,Illinois,Call-Center,Within SLA,44,Chicago/IL
QVT-25139800-Y-987114-MX,Brian Udden,Positive,8,10/17/2020,Payments,Maple Plain,Minnesota,Call-Center,Above SLA,16,Baltimore/MD
HYC-26495935-H-654181-p8,Elga Osant,Negative,,10/29/2020,Service Outage,Charlottesville,Virginia,Web,Within SLA,19,Los Angeles/CA
WXD-57760352-g-657215-ms,Corrianne Battaille,Neutral,,10/30/2020,Billing Question,Pittsburgh,Pennsylvania,Email,Within SLA,45,Chicago/IL
GQI-93685325-j-662091-Zf,Thia Cullerne,Positive,,10/20/2020,Payments,Yonkers,New York,Call-Center,Below SLA,8,Los Angeles/CA
CQO-53922125-5-516216-IZ,Petronia Kirkby,Very Negative,,10/3/2020,Billing Question,Nashville,Tennessee,Web,Below SLA,40,Baltimore/MD
BYY-99067368-p-514205-vM,Antonio Stiggers,Negative,3,10/23/2020,Billing Question,Woburn,Massachusetts,Call-Center,Above SLA,15,Los Angeles/CA
JZJ-97356140-x-342960-LB,Alis Crosskell,Negative,,10/19/2020,Billing Question,New Orleans,Louisiana,Call-Center,Within SLA,31,Los Angeles/CA
GTJ-60314482-L-066101-FL,Hubey Dono,Very Positive,9,10/25/2020,Billing Question,Chicago,Illinois,Call-Center,Within SLA,32,Los Angeles/CA
PDE-16910442-s-535751-kp,Tamarra Behan,Negative,4,10/1/2020,Billing Question,Fort Lauderdale,Florida,Call-Center,Within SLA,10,Baltimore/MD
HFK-02526547-i-572954-Wn,Tatum Deroche,Negative,6,10/6/2020,Payments,New Haven,Connecticut,Call-Center,Below SLA,29,Baltimore/MD
BSG-25533078-9-369910-AM,Quinlan Summerson,Positive,,10/7/2020,Billing Question,Great Neck,New York,Web,Below SLA,21,Baltimore/MD
PEK-55656978-f-706993-A7,Cirillo Barnaclough,Negative,,10/29/2020,Billing Question,Phoenix,Arizona,Chatbot,Above SLA,41,Los Angeles/CA
JPD-51113618-2-631705-x8,Calvin O'Logan,Negative,4,10/30/2020,Billing Question,Austin,Texas,Chatbot,Above SLA,8,Chicago/IL
TSY-33767364-c-002373-Pm,Justin Rizzelli,Neutral,7,10/23/2020,Billing Question,Washington,District of Columbia,Call-Center,Above SLA,41,Los Angeles/CA
CBA-00013509-l-522173-jJ,Britte Mundie,Negative,,10/22/2020,Billing Question,Saint Augustine,Florida,Chatbot,Above SLA,31,Los Angeles/CA
ZOL-22692429-6-827893-si,Nikolas Sighart,Positive,,10/26/2020,Billing Question,Harrisburg,Pennsylvania,Email,Within SLA,29,Los Angeles/CA
BSF-84068685-C-776145-k5,Lilly Purselow,Very Negative,,10/7/2020,Service Outage,Shreveport,Louisiana,Email,Within SLA,18,Baltimore/MD
IDU-57672614-m-793951-6S,Mozes Nagle,Positive,8,10/21/2020,Billing Question,Richmond,California,Email,Below SLA,35,Los Angeles/CA
UGR-09080285-L-742207-o3,Jacqueline Van Der Walt,Negative,6,10/11/2020,Service Outage,Cleveland,Ohio,Chatbot,Within SLA,24,Baltimore/MD
GRR-81764896-t-329085-g4,Alvan Cumpsty,Negative,,10/30/2020,Billing Question,Norman,Oklahoma,Email,Within SLA,37,Los Angeles/CA
FLZ-95684121-c-775390-DA,Raynard Bortolussi,Negative,,10/16/2020,Billing Question,Wilmington,Delaware,Email,Below SLA,5,Los Angeles/CA
QPV-84337416-d-934561-XQ,Dani Graves,Very Positive,,10/20/2020,Billing Question,Fairfield,Connecticut,Call-Center,Below SLA,14,Baltimore/MD
TLA-71098611-D-341637-MP,Dill Ocklin,Very Positive,,10/9/2020,Billing Question,Jackson,Mississippi,Web,Within SLA,32,Baltimore/MD
BUO-72801134-n-898738-gI,Hana Redsell,Positive,,10/10/2020,Billing Question,Gatesville,Texas,Email,Within SLA,28,Baltimore/MD
TCQ-11781024-o-297260-t0,Steffie Story,Negative,4,10/11/2020,Billing Question,Jamaica,New York,Call-Center,Within SLA,13,Baltimore/MD
HYD-46718326-s-062027-ZE,Rozele Jaine,Positive,8,10/14/2020,Billing Question,Cleveland,Ohio,Call-Center,Within SLA,8,Los Angeles/CA
BEO-03780152-W-021822-02,Nada Kohler,Positive,,10/7/2020,Service Outage,San Antonio,Texas,Email,Within SLA,11,Los Angeles/CA
BBS-00599952-M-365944-gC,Stafford Sivior,Neutral,7,10/17/2020,Billing Question,El Paso,Texas,Email,Within SLA,33,Chicago/IL
QHD-66153793-t-220009-Vn,Nydia Gathercole,Positive,,10/4/2020,Payments,Kansas City,Kansas,Call-Center,Within SLA,28,Chicago/IL
KNT-63351123-b-630376-k8,Mona Ferrey,Neutral,,10/12/2020,Billing Question,Memphis,Tennessee,Email,Below SLA,12,Denver/CO
QNJ-59972544-n-868168-2n,Silvie Ibbetson,Very Negative,4,10/2/2020,Payments,Sacramento,California,Call-Center,Within SLA,44,Denver/CO
YVM-97229292-e-544563-aJ,Amitie Borit,Neutral,,10/27/2020,Billing Question,Madison,Wisconsin,Web,Within SLA,38,Baltimore/MD
EHC-43804184-J-132759-03,Faith Ruck,Negative,5,10/29/2020,Payments,Beaumont,Texas,Call-Center,Within SLA,6,Los Angeles/CA
DZU-46720699-m-499464-im,Dorthy Clacey,Negative,,10/12/2020,Payments,Los Angeles,California,Call-Center,Below SLA,29,Chicago/IL
MEE-00334040-Q-549271-hl,Marguerite Connealy,Negative,5,10/2/2020,Billing Question,Pasadena,California,Web,Within SLA,20,Baltimore/MD
HWV-25619081-I-888595-eF,Ninnette Muzzollo,Negative,,10/17/2020,Billing Question,Anchorage,Alaska,Chatbot,Within SLA,15,Los Angeles/CA
TWR-31734444-v-389102-nu,Darryl Keddey,Negative,5,10/27/2020,Billing Question,Columbus,Ohio,Web,Above SLA,15,Los Angeles/CA
